athlete_id,athlete_display_name,school,minutes,fg_made,fg_att,position,fg_percentage
585,Diana Taurasi,Mercury,1122,188,465,G,0.4043010752688172
869,DeWanna Bonner,Sun,1523,250,608,F,0.41118421052631576
887,Sami Whitcomb,Storm,613,72,209,G,0.3444976076555024
918,Tina Charles,Dream,1218,255,556,C,0.45863309352517984
924,Alysha Clark,Aces,1129,97,225,F,0.4311111111111111
981,Courtney Vandersloot,Liberty,862,103,234,G,0.44017094017094016
1004,Sydney Colson,Aces,275,28,71,G,0.39436619718309857
1054,Tiffany Hayes,Aces,843,132,263,G,0.5019011406844106
1068,Nneka Ogwumike,Storm,1275,270,536,F,0.503731343283582
2284331,Emma Cannon,Aces,10,2,3,F,0.6666666666666666
2490553,Brittney Griner,Mercury,932,237,410,C,0.5780487804878048
2490794,Layshia Clarendon,Sparks,334,32,75,G,0.4266666666666667
2491205,Skylar Diggins-Smith,Storm,1340,228,542,G,0.42066420664206644
2491214,Erica Wheeler,Fever,565,58,142,G,0.4084507042253521
2529047,Odyssey Sims,Sparks,702,117,242,G,0.4834710743801653
2529122,Chelsea Gray,Aces,904,109,270,G,0.40370370370370373
2529130,Natasha Howard,Wings,826,187,410,F,0.4560975609756098
2529137,Natasha Cloud,Mercury,1344,171,418,G,0.4090909090909091
2529140,Alyssa Thomas,Sun,1584,213,419,F,0.5083532219570406
2529183,Stefanie Dolson,Mystics,1012,133,280,C,0.475
2529205,Kayla McBride,Lynx,1720,242,573,G,0.4223385689354276
2529458,Cheyenne Parker-Tyus,Dream,493,83,187,F,0.44385026737967914
2529622,Kayla Thornton,Liberty,975,91,238,F,0.38235294117647056
2531437,Ezinne Kalu,Dream,28,2,7,G,0.2857142857142857
2566081,Elizabeth Williams,Sky,251,37,76,C,0.4868421052631579
2566106,Dearica Hamby,Sparks,1352,268,525,F,0.5104761904761905
2566110,Julie Vanloo,Mystics,928,106,306,G,0.3464052287581699
2566186,Rachel Banham,Sky,588,71,202,G,0.35148514851485146
2566453,Isabelle Harrison,Sky,587,95,238,F,0.39915966386554624
2569044,Temi Fagbenle,Fever,463,62,123,C,0.5040650406504065
2590093,Kiah Stokes,Aces,774,20,63,C,0.31746031746031744
2593770,Betnijah Laney-Hamilton,Liberty,1185,154,356,F,0.43258426966292135
2955898,Damiris Dantas,Fever,243,40,86,F,0.46511627906976744
2984741,Tiffany Mitchell,Sun,394,38,109,G,0.3486238532110092
2987869,Jewell Loyd,Storm,1318,229,644,G,0.3555900621118012
2987891,Courtney Williams,Lynx,1445,265,612,G,0.43300653594771243
2988756,Brittney Sykes,Mystics,418,81,200,G,0.405
2998927,Moriah Jefferson,Sky,184,9,42,G,0.21428571428571427
2998928,Breanna Stewart,Liberty,1720,359,813,F,0.44157441574415746
2998938,Kahleah Copper,Mercury,1271,287,661,G,0.4341906202723147
2999035,Aerial Powers,Dream,303,49,138,G,0.35507246376811596
2999101,Jonquel Jones,Liberty,1575,270,503,F,0.536779324055666
3054590,Nia Coffey,Dream,556,51,157,F,0.3248407643312102
3056672,Mercedes Russell,Storm,629,66,128,C,0.515625
3056730,Karlie Samuelson,Mystics,711,79,193,G,0.40932642487046633
3058888,Kaela Davis,Sky,52,4,12,F,0.3333333333333333
3058892,Lexie Brown,Sparks,379,42,131,G,0.32061068702290074
3058893,Shatori Walker-Kimbrough,Mystics,884,105,253,G,0.4150197628458498
3058895,Brionna Jones,Sun,1236,250,471,F,0.5307855626326964
3058901,Allisha Gray,Dream,1419,221,542,G,0.4077490774907749
3058902,Diamond DeShields,Sky,443,56,161,G,0.34782608695652173
3058908,Lindsay Allen,Sky,950,104,223,G,0.4663677130044843
3065570,Kelsey Plum,Aces,1500,270,630,G,0.42857142857142855
3099025,Astou Ndour-Fall,Sun,96,9,26,C,0.34615384615384615
3099736,Stephanie Talbot,Sparks,601,49,124,F,0.3951612903225806
3102133,Rebecca Allen,Mercury,447,53,126,G,0.42063492063492064
3142010,Azura Stevens,Sparks,495,71,178,F,0.398876404494382
3142055,Myisha Hines-Allen,Lynx,869,137,285,F,0.4807017543859649
3142086,Brianna Turner,Sky,251,16,26,F,0.6153846153846154
3142191,Kelsey Mitchell,Fever,1374,304,648,G,0.4691358024691358
3142250,Jordin Canada,Dream,679,74,189,G,0.3915343915343915
3142255,Monique Billings,Mercury,870,111,235,F,0.4723404255319149
3142327,Kia Nurse,Sparks,808,102,263,G,0.38783269961977185
3142328,Gabby Williams,Storm,427,64,135,F,0.4740740740740741
3142948,Victoria Vivians,Storm,453,41,124,G,0.33064516129032256
3143510,Morgan Bertsch,Wings,100,6,30,F,0.2
3146151,Ariel Atkins,Mystics,1195,217,497,G,0.43661971830985913
3149391,A'ja Wilson,Aces,1554,446,855,C,0.5216374269005848
3156318,Kristy Wallace,Fever,450,47,118,G,0.3983050847457627
3904576,Marina Mabrey,Sun,1467,253,624,G,0.40544871794871795
3904577,Arike Ogunbowale,Wings,1499,289,749,G,0.38584779706275035
3906753,Natisha Hiedeman,Lynx,788,99,249,G,0.39759036144578314
3906972,Bridget Carleton,Lynx,1605,171,379,F,0.45118733509234826
3907781,Sophie Cunningham,Mercury,1175,108,250,G,0.432
3913881,Alanna Smith,Lynx,1398,189,395,F,0.47848101265822784
3913903,Teaira McCowan,Wings,985,184,323,C,0.5696594427244582
3916514,Kalani Brown,Wings,513,92,158,C,0.5822784810126582
3917450,Napheesa Collier,Lynx,1683,380,760,F,0.5
3917453,Katie Lou Samuelson,Fever,676,51,147,F,0.3469387755102041
3922628,Kennedy Burke,Liberty,514,58,146,F,0.3972602739726027
3934218,Megan Gustafson,Aces,432,54,111,C,0.4864864864864865
4038390,Olivia Epoupa,Lynx,118,6,16,G,0.375
4065759,Mikiah Herbert Harrigan,Mercury,337,35,86,F,0.4069767441860465
4065760,Tyasha Harris,Sun,1206,156,363,G,0.4297520661157025
4065820,Kysre Gondrezick,Sky,16,2,7,G,0.2857142857142857
4065870,Jackie Young,Aces,1403,232,552,G,0.42028985507246375
4066527,Jaelyn Brown,Wings,141,15,31,G,0.4838709677419355
4066533,Sabrina Ionescu,Liberty,1670,318,802,G,0.39650872817955113
4066548,DiJonai Carrington,Sun,1386,209,511,G,0.4090019569471624
4066553,Aari McDonald,Sparks,569,77,191,G,0.4031413612565445
4066585,Crystal Dangerfield,Sparks,440,37,131,G,0.2824427480916031
4068042,Natasha Mack,Mercury,647,78,135,F,0.5777777777777777
4068159,Sug Sutton,Mystics,379,24,78,G,0.3076923076923077
4068161,Joyner Holmes,Storm,234,33,78,F,0.4230769230769231
4068885,Amy Atwell,Mercury,60,4,15,F,0.26666666666666666
4257500,Cecilia Zandalasini,Lynx,605,82,181,F,0.4530386740331492
4280850,Maya Caldwell,Dream,424,53,129,G,0.4108527131782946
4280892,Chennedy Carter,Sky,859,238,489,G,0.4867075664621677
4281183,Lorela Cubaj,Dream,244,16,37,F,0.43243243243243246
4281190,Dana Evans,Sky,744,95,252,G,0.376984126984127
4281253,DiDi Richards,Mystics,197,20,50,G,0.4
4281929,Satou Sabally,Wings,511,89,209,F,0.4258373205741627
4282168,Kiana Williams,Storm,45,4,16,G,0.25
4282173,Michaela Onyenwere,Sky,635,88,212,F,0.41509433962264153
4398567,Taylor Soule,Lynx,4,0,0,F,NA
4398591,Liz Dixon,Mercury,160,11,29,F,0.3793103448275862
4398674,Rhyne Howard,Dream,1084,180,479,G,0.3757828810020877
4398726,Jessika Carter,Aces,4,0,1,F,0
4398729,Emily Engstler,Mystics,463,76,154,F,0.4935064935064935
4398751,Destanni Henderson,Dream,105,10,29,G,0.3448275862068966
4398752,Victaria Saxton,Fever,24,4,10,F,0.4
4398764,Rae Burrell,Sparks,579,59,163,G,0.3619631901840491
4398768,Nyara Sabally,Liberty,442,63,111,F,0.5675675675675675
4398776,NaLyssa Smith,Fever,1002,168,351,F,0.47863247863247865
4398779,Queen Egbo,Aces,31,5,12,C,0.4166666666666667
4398780,Caitlin Bickle,Sun,17,0,3,F,0
4398829,Lexie Hull,Fever,730,64,149,G,0.42953020134228187
4398899,Grace Berger,Fever,105,10,25,G,0.4
4398907,Kate Martin,Aces,394,27,88,G,0.3068181818181818
4398911,Shakira Austin,Mystics,240,52,121,C,0.4297520661157025
4398915,Naz Hillmon,Dream,916,97,176,F,0.5511363636363636
4398935,Veronica Burton,Sun,530,36,103,G,0.34951456310679613
4398938,Dorka Juhasz,Lynx,607,74,151,F,0.4900662251655629
4398966,Olivia Nelson-Ododa,Sun,506,57,111,F,0.5135135135135135
4399114,Lou Lopez Senechal,Wings,128,10,34,G,0.29411764705882354
4399415,Maddy Siegrist,Wings,643,106,210,F,0.5047619047619047
4420318,Ezi Magbegor,Storm,1165,178,346,C,0.5144508670520231
4422426,Li Yueru,Sparks,545,68,147,C,0.46258503401360546
4432830,Jordan Horston,Storm,908,115,232,G,0.4956896551724138
4432831,Aliyah Boston,Fever,1306,253,475,F,0.5326315789473685
4432832,Zia Cooke,Sparks,257,36,112,G,0.32142857142857145
4432834,Laeticia Amihere,Dream,92,10,31,F,0.3225806451612903
4432841,Jakia Brown-Turner,Mystics,8,0,1,G,0
4432864,Celeste Taylor,Mercury,359,23,65,G,0.35384615384615387
4432865,Jacy Sheldon,Wings,931,81,210,G,0.38571428571428573
4433293,Charisma Osborne,Mercury,10,1,2,G,0.5
4433386,Jaylyn Sherrod,Liberty,44,7,17,G,0.4117647058823529
4433402,Angel Reese,Sky,1122,169,429,F,0.3939393939393939
4433403,Caitlin Clark,Fever,1518,258,629,G,0.41017488076311603
4433404,Cameron Brink,Sparks,332,41,103,F,0.39805825242718446
4433405,Kamilla Cardoso,Sky,874,126,242,C,0.5206611570247934
4433408,Aaliyah Edwards,Mystics,740,103,210,F,0.49047619047619045
4433468,Nika Muhl,Storm,58,1,14,G,0.07142857142857142
4433630,Rickea Jackson,Sparks,1149,200,439,F,0.45558086560364464
4433633,Kierstan Bell,Aces,45,7,18,G,0.3888888888888889
4433635,Diamond Miller,Lynx,216,21,69,F,0.30434782608695654
4433661,Marquesha Davis,Liberty,86,10,24,G,0.4166666666666667
4594527,Dulcy Fankam Mendjiadeu,Storm,37,2,3,F,0.6666666666666666
4595236,Dyaisha Fair,Aces,4,0,2,G,0
4595910,Haley Jones,Dream,730,61,153,G,0.39869281045751637
4683006,Leonie Fiebich,Liberty,1186,142,287,F,0.49477351916376305
5017721,Sika Kone,Mystics,217,36,84,F,0.42857142857142855
5017726,Jade Melbourne,Mystics,524,72,166,G,0.43373493975903615
5105752,Alissa Pili,Lynx,139,19,45,F,0.4222222222222222
5106150,Stephanie Soares,Wings,176,10,34,C,0.29411764705882354
5130672,Ivana Dojkic,Liberty,267,26,76,G,0.34210526315789475
5209660,Sevgi Uzun,Wings,818,68,199,G,0.3417085427135678
NA,NA,Dream,0,0,0,NA,NA
